workflow_id,condition,n_errors,n_kinds,passes_actionlint
0xax/linux-insides/.github/workflows/check-code-snippets.yaml/40e581e4b93c5a2d3d189e7351355f91e009aaef,gold,0.0,0.0,True
0xax/linux-insides/.github/workflows/check-code-snippets.yaml/40e581e4b93c5a2d3d189e7351355f91e009aaef,pro,0.0,0.0,True
0xax/linux-insides/.github/workflows/check-code-snippets.yaml/40e581e4b93c5a2d3d189e7351355f91e009aaef,flash,1.0,1.0,False
1panel-dev/1panel/.github/workflows/release-drafter.yml/da155fadf2296cea8e364e54c4571fcf7c02cc46,gold,5.0,1.0,False
1panel-dev/1panel/.github/workflows/release-drafter.yml/da155fadf2296cea8e364e54c4571fcf7c02cc46,pro,0.0,0.0,True
1panel-dev/1panel/.github/workflows/release-drafter.yml/da155fadf2296cea8e364e54c4571fcf7c02cc46,flash,0.0,0.0,True
2dust/v2rayn/.github/workflows/build-linux.yml/8ee00907b7a7afdb44a3cc4a874ff7b487996669,gold,0.0,0.0,True
2dust/v2rayn/.github/workflows/build-linux.yml/8ee00907b7a7afdb44a3cc4a874ff7b487996669,pro,0.0,0.0,True
2dust/v2rayn/.github/workflows/build-linux.yml/8ee00907b7a7afdb44a3cc4a874ff7b487996669,flash,0.0,0.0,True
2dust/v2rayng/.github/workflows/build.yml/81d2ef5db5723234e55dc17a2b57cdbe4468720e,gold,0.0,0.0,True
2dust/v2rayng/.github/workflows/build.yml/81d2ef5db5723234e55dc17a2b57cdbe4468720e,pro,0.0,0.0,True
2dust/v2rayng/.github/workflows/build.yml/81d2ef5db5723234e55dc17a2b57cdbe4468720e,flash,1.0,1.0,False
2noise/ChatTTS/.github/workflows/checksum.yml/a63e9c2adfa999d4c7fcc22e9e9e5e77f1cc0f57,gold,4.0,1.0,False
2noise/ChatTTS/.github/workflows/checksum.yml/a63e9c2adfa999d4c7fcc22e9e9e5e77f1cc0f57,pro,2.0,2.0,False
2noise/ChatTTS/.github/workflows/checksum.yml/a63e9c2adfa999d4c7fcc22e9e9e5e77f1cc0f57,flash,4.0,2.0,False
3b1b/manim/.github/workflows/publish.yml/f87b82a9e91383d662c22302f7c06c69992acd23,gold,2.0,1.0,False
3b1b/manim/.github/workflows/publish.yml/f87b82a9e91383d662c22302f7c06c69992acd23,pro,0.0,0.0,True
3b1b/manim/.github/workflows/publish.yml/f87b82a9e91383d662c22302f7c06c69992acd23,flash,0.0,0.0,True
acmesh-official/acme.sh/.github/workflows/wiki-monitor.yml/0f7ecad4e86a61d32279a5461151218629e88325,gold,10.0,3.0,False
acmesh-official/acme.sh/.github/workflows/wiki-monitor.yml/0f7ecad4e86a61d32279a5461151218629e88325,pro,5.0,3.0,False
acmesh-official/acme.sh/.github/workflows/wiki-monitor.yml/0f7ecad4e86a61d32279a5461151218629e88325,flash,11.0,5.0,False
adguardteam/adguardhome/.github/workflows/build.yml/a33164bf1805f5ab1691b183f32e5ed1c4a7fbbc,gold,14.0,2.0,False
adguardteam/adguardhome/.github/workflows/build.yml/a33164bf1805f5ab1691b183f32e5ed1c4a7fbbc,pro,1.0,1.0,False
adguardteam/adguardhome/.github/workflows/build.yml/a33164bf1805f5ab1691b183f32e5ed1c4a7fbbc,flash,0.0,0.0,True
agno-agi/agno/.github/workflows/main_test.yml/2d3fa45f2732fd09b12163c3aa7f368f9a5b4a1c,gold,88.0,2.0,False
agno-agi/agno/.github/workflows/main_test.yml/2d3fa45f2732fd09b12163c3aa7f368f9a5b4a1c,pro,5.0,3.0,False
agno-agi/agno/.github/workflows/main_test.yml/2d3fa45f2732fd09b12163c3aa7f368f9a5b4a1c,flash,13.0,4.0,False
Aider-AI/aider/.github/workflows/check_pypi_version.yml/b0623f04fee44d36ac3befb0cd693a2a56379212,gold,4.0,2.0,False
Aider-AI/aider/.github/workflows/check_pypi_version.yml/b0623f04fee44d36ac3befb0cd693a2a56379212,pro,1.0,1.0,False
Aider-AI/aider/.github/workflows/check_pypi_version.yml/b0623f04fee44d36ac3befb0cd693a2a56379212,flash,1.0,1.0,False
airbnb/javascript/.github/workflows/node.yml/8aec65a4d385c49550bf7e53a18044d8f09d5c06,gold,8.0,1.0,False
airbnb/javascript/.github/workflows/node.yml/8aec65a4d385c49550bf7e53a18044d8f09d5c06,pro,7.0,2.0,False
airbnb/javascript/.github/workflows/node.yml/8aec65a4d385c49550bf7e53a18044d8f09d5c06,flash,0.0,0.0,True
airbnb/lottie-android/.github/workflows/validate.yml/ba6d6ee11822e55571ce6e7864ca361b677d5bae,gold,13.0,1.0,False
airbnb/lottie-android/.github/workflows/validate.yml/ba6d6ee11822e55571ce6e7864ca361b677d5bae,pro,1.0,1.0,False
airbnb/lottie-android/.github/workflows/validate.yml/ba6d6ee11822e55571ce6e7864ca361b677d5bae,flash,2.0,1.0,False
airbnb/lottie-web/.github/workflows/testAnimations.yml/49f0ba5cce3fe68772b7813d57176cfca79113c1,gold,2.0,1.0,False
airbnb/lottie-web/.github/workflows/testAnimations.yml/49f0ba5cce3fe68772b7813d57176cfca79113c1,pro,0.0,0.0,True
airbnb/lottie-web/.github/workflows/testAnimations.yml/49f0ba5cce3fe68772b7813d57176cfca79113c1,flash,0.0,0.0,True
ajeetdsouza/zoxide/.github/workflows/build.yml/fec064a1ef0517b7107730581c47dd132f09de45,gold,6.0,1.0,False
ajeetdsouza/zoxide/.github/workflows/build.yml/fec064a1ef0517b7107730581c47dd132f09de45,pro,2.0,1.0,False
ajeetdsouza/zoxide/.github/workflows/build.yml/fec064a1ef0517b7107730581c47dd132f09de45,flash,2.0,1.0,False
alacritty/alacritty/.github/workflows/ci.yml/43d1afbeeb9cba0ce1281a9cf2223b5bd71664d2,gold,1.0,1.0,False
alacritty/alacritty/.github/workflows/ci.yml/43d1afbeeb9cba0ce1281a9cf2223b5bd71664d2,pro,0.0,0.0,True
alacritty/alacritty/.github/workflows/ci.yml/43d1afbeeb9cba0ce1281a9cf2223b5bd71664d2,flash,0.0,0.0,True
alamofire/alamofire/.github/workflows/ci.yml/bf36cf532f452ff979574266edc4bc590b954f80,gold,14.0,1.0,False
alamofire/alamofire/.github/workflows/ci.yml/bf36cf532f452ff979574266edc4bc590b954f80,pro,19.0,2.0,False
alamofire/alamofire/.github/workflows/ci.yml/bf36cf532f452ff979574266edc4bc590b954f80,flash,16.0,2.0,False
alibaba/arthas/.github/workflows/build-vmtool.yaml/edeec131a64f56fb1dc2df386b8a9803d5dd5f97,gold,47.0,3.0,False
alibaba/arthas/.github/workflows/build-vmtool.yaml/edeec131a64f56fb1dc2df386b8a9803d5dd5f97,pro,7.0,1.0,False
alibaba/arthas/.github/workflows/build-vmtool.yaml/edeec131a64f56fb1dc2df386b8a9803d5dd5f97,flash,11.0,2.0,False
alibaba/canal/.github/workflows/maven.yml/553438e2274e6b6b7c96833394ada3e4513d4e12,gold,0.0,0.0,True
alibaba/canal/.github/workflows/maven.yml/553438e2274e6b6b7c96833394ada3e4513d4e12,pro,0.0,0.0,True
alibaba/canal/.github/workflows/maven.yml/553438e2274e6b6b7c96833394ada3e4513d4e12,flash,0.0,0.0,True
alibaba/easyexcel/.github/workflows/ci.yml/ff84b03d6dd8d374f322a6bd4a2490f602bff8fb,gold,0.0,0.0,True
alibaba/easyexcel/.github/workflows/ci.yml/ff84b03d6dd8d374f322a6bd4a2490f602bff8fb,pro,0.0,0.0,True
alibaba/easyexcel/.github/workflows/ci.yml/ff84b03d6dd8d374f322a6bd4a2490f602bff8fb,flash,0.0,0.0,True
alibaba/nacos/.github/workflows/ci.yml/fd18e3554b9f88b4f8b70c5cb26afcd700901dc4,gold,16.0,1.0,False
alibaba/nacos/.github/workflows/ci.yml/fd18e3554b9f88b4f8b70c5cb26afcd700901dc4,pro,1.0,1.0,False
alibaba/nacos/.github/workflows/ci.yml/fd18e3554b9f88b4f8b70c5cb26afcd700901dc4,flash,3.0,1.0,False
alibaba/spring-cloud-alibaba/.github/workflows/integration-test.yml/a2ff00765d37e12bf68a36a38b0f483526a1e736,gold,4.0,1.0,False
alibaba/spring-cloud-alibaba/.github/workflows/integration-test.yml/a2ff00765d37e12bf68a36a38b0f483526a1e736,pro,1.0,1.0,False
alibaba/spring-cloud-alibaba/.github/workflows/integration-test.yml/a2ff00765d37e12bf68a36a38b0f483526a1e736,flash,1.0,1.0,False
alist-org/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,gold,0.0,0.0,True
alist-org/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,pro,5.0,3.0,False
alist-org/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,flash,6.0,1.0,False
AlistGo/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,gold,0.0,0.0,True
AlistGo/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,pro,1.0,1.0,False
AlistGo/alist/.github/workflows/build.yml/fec98e7f695b85f2feba4d4c69300449c7b58b8b,flash,10.0,2.0,False
All-Hands-AI/OpenHands/.github/workflows/welcome-good-first-issue.yml/d9cf5b7302efdab87ae8d67110507b3b3a5cf64b,gold,31.0,2.0,False
All-Hands-AI/OpenHands/.github/workflows/welcome-good-first-issue.yml/d9cf5b7302efdab87ae8d67110507b3b3a5cf64b,pro,22.0,3.0,False
All-Hands-AI/OpenHands/.github/workflows/welcome-good-first-issue.yml/d9cf5b7302efdab87ae8d67110507b3b3a5cf64b,flash,29.0,3.0,False
amruthpillai/reactive-resume/.github/workflows/lint-test-build.yml/04a9c988e68a99bb88ba6b82f41603fa3b2c9c2d,gold,0.0,0.0,True
amruthpillai/reactive-resume/.github/workflows/lint-test-build.yml/04a9c988e68a99bb88ba6b82f41603fa3b2c9c2d,pro,0.0,0.0,True
amruthpillai/reactive-resume/.github/workflows/lint-test-build.yml/04a9c988e68a99bb88ba6b82f41603fa3b2c9c2d,flash,1.0,1.0,False
android/architecture-samples/.github/workflows/build_test.yaml/bae3801f96394ea67fc425a5503cca734f3bcbd8,gold,0.0,0.0,True
android/architecture-samples/.github/workflows/build_test.yaml/bae3801f96394ea67fc425a5503cca734f3bcbd8,pro,0.0,0.0,True
