repository,file_hash,valid_yaml,valid_workflow
yakshalang/yaksha,d265246144bc5c33a9482c9a78e313fcbc3c7c61f30d2ce88313b43a27d2c568,True,True
ba-archive/blue-archive,31b0f5f58051bfba0963e822d88832b0a322995aed88817f1ed024e0dac71f5c,True,False
nicotine-plus/nicotine-plus,2c92c6e87811aff2a1fbea70e3f7c2c6f0270c6c13e142b124a0597154072f7d,True,True
darwinia-network/darwinia,ac75c813f7328928d021205071a2cbac29112511e011f329b15e5e2209315ad5,True,True
yourls/images,b2cfa692dce18d2b1fb84aeec80704038a6e8978abbc5a0f627b658b71952d6c,True,True
warden-protocol/wardenprotocol,729bcbf385e440260a693f729f6c2c0a31d590fedf3eb77ca62a7c235f45e3fb,True,True
paketo-buildpacks/java,88abc13097e63412f82b1f6e6d90f533fe0a169f9e4ecf64f11e3a762ccf1e4f,True,True
chipsalliance/t1,006d4e0555e0b09d37f2baf6ed769a46cd2da5d48da25718760b81fdee0d9cd0,True,True
autopkg/autopkg,5b7c39fd6aeb1959379c1d2c5be04a77cecbb0ebc85f09b209a2f792385ca3dc,True,True
tailscale/tailscale,a0639b732e5353fc034d0c65205a8f177ece6c770eba94fb72e2ae92bf8529aa,True,True
nodejs/nodejs.org,2608b3b45365e41e41a954aa98413b46adcd54f53dd6b50dddb8ad2a9729240b,True,True
thecloudtheory/arm-estimator,751019e0b3d748152dec3be9cb551bebb43bbc908710606d344d2586a91ded7d,True,False
gmlc-tdc/helics,6af0925760c1b84910904d5de2b2026c44daba8aaf3c72e60953fa98d675efc6,True,True
neondatabase/autoscaling,f7df2e9f3e53fa5fbf0c3fd7652229a3f5b9e03b3e2cf87c79043ee87c1fbd4a,True,True
tencent/ncnn,2320126f4165c969301e6436b0b90db628a9ff81fe3adc136875e3a5e06877ac,True,True
fluxcd/flagger,9ae2cacf5a76eff15812c38bd6be9cbd3140b791cb180081c59fe6c675a0c5af,True,True
schemacrawler/schemacrawler,c3f3909f48246bf3faffa7904da8463c05cb7f4dd5accc4ce0034de681ac7f86,True,True
nipype/pydra,dd2522c4e684136e2d4712f325835e1e4834c2a107aedbf8273d63715f0d7964,True,True
juicedata/juicefs,beda841c4eae09bd5df219bcae65bd67b2fa9214b2da1a9a4dfaa551fa7f596c,True,True
mthmulders/mcs,dde1caf40dd09f67210e9d23c3df704e7dc694087e431a6a2ca43b1684f28383,True,True
werwolv/imhex,df7d075eba03416fbb8dcbeae3c5efc925ec1b9e6a2d82a04bca6069c80e6878,True,True
spiffe/spire,cac8636ac701d147d27858deb55089ff2ef8b7df183133640a7c4cf56027c86e,True,True
e-m-b-a/embark,ce1ecb6624dd476ae079b2ff0b8e5f9217a68d464073c600e8f41a358681b902,True,True
sharkdp/numbat,d3fb7bea4fc4765b94278515517bccb2c1dff9b9228b3f80d7b496d47f0e389b,True,True
devnatan/inventory-framework,a77722fa0d40fb25e3f672ac28a4bf9929193b3a958650b56ffbea4e2b6d3595,True,True
poingstudios/godot-admob-android,685dfe1c4254645689eedcc22ce7af64130b6545cdfddc1944098fb8c40a5fdb,True,True
renovatebot/renovate,731ac1901fed102c9b600aa256b9e40675a179b23304b0652c3545db74287f2d,True,True
loxilb-io/loxilb,624e98361272a4605d4571f1e4619ee693ef3298bf6aadef44e3addb6cedfe6c,True,True
NeuroJSON/jsonlab,e269b694d057467e4d3882e4229ff3282f71ca22936a1169e216d1b8835d0ad9,True,True
justarchinet/archisteamfarm,8d4b7cab649d5bccb8e3c9145090d200898ccdbf0cd158fcd145f460a971f76d,True,True
python-zeroconf/python-zeroconf,11e802ef872d7641dcb2bd74d7b2b3b9f94f40d4dbe8058564108358391b861b,True,True
ffuqiangg/build_openwrt,4e2db153224c8ce01e9d2659ff8f61fb16b629f4c7f9c603ed7978610c74b213,True,True
mon-ius/docker-warp-socks,cc924508f629de979dfe0855871cff415d48414e52a569ec0e2f414d4fd425d2,True,True
phpdocumentor/phpdocumentor,6455e14983df561d08ab16872666cac2767d5c25741351a30e972cdec6304d66,True,True
dwallet-labs/ika,9bd1e2bdc11b0a63a1ad486e9b000c860785bbb317eb1b2dd07e3904a502b401,True,True
simdjson/simdjson,6891bcf975a8b2d570e35aa2bb571e85db6551b2448cc094d5f79a099525d73b,True,True
awspring/spring-cloud-aws,306f2cfc57f9e65ab558b2184de80323aa53a72a7d6de0471cf8c1ec8e11b64b,True,True
kraina-ai/srai,4754f46963751c35f3cd0ab72de7238bab8566429b311fdf2c8093aa11c03efc,True,True
dlt-hub/dlt,c3b05a250891cbaae6a362d5d152f2767052d4033d0868bda4e90250bd26228e,True,True
libprima/prima,2cfdd0a5e3de64180cef86d1ca2392b404a9a525955249e65d8b6d38609b4a36,True,True
fenics/dolfinx,166406a3bb6b2bf22bff128d2bef30751b1a8089d5b9742a22f679b21f662ed1,True,True
smithay/smithay,ecf5df51df6d6ce26b30ff6fffa2ea2d2f837864d6cca130bc0873a1c9c0a409,True,False
rjust/defects4j,33dac7eabea2ab4530a3c72194d94ef945e1543ea94bc99c5d753a55cf254e33,True,True
nikolasibalic/arc-alkali-rydberg-calculator,,True,True
pytest-dev/pytest-cov,914109c3f7ac1576a6e6a2ef6bccaaeb9f63b7678a1291c8241aa4c78b9e0f3f,True,True
cclib/cclib,f125abe290960ad9e306080cb668afd4cf72d42a0f6022fb0e39b429a99b8e8b,True,True
junobuild/juno,6ede2efe48416ab79212e1b38d3d33a33965a7031930e8f113113f2f760c5d09,True,True
slackhq/compose-lints,de0bfbea36a413de5e5c9ff91a6f0ed6a232ced982fb29e3232289e2bc300fb4,True,True
arlac77/svelte-websocket-store,bd2bda32f4efbf26026650a9a25152bf47b7f192fc442e541d48dda951652b88,True,True
wundergraph/cosmo,,True,True
wezterm/wezterm,9418aedea2979d68fed32940dea06d85a91913b8920584e7454939e0d9799a5c,True,True
GatoGraphQL/GatoGraphQL,0eca8744765849ce40b7bab1d8b31ab2b6b906f87c2f059cc0113418510670de,True,True
JuliaGPU/GPUArrays.jl,5327d0a82e00f5d65273c5898c0e415dd7463f8527366a792f9ce32c54195f59,True,True
citation-style-language/locales,4293a07b0ec16a1642ec34854789e17177926d76a3e61d9cd3fb58eabe982d31,True,True
cookiecutter/cookiecutter-django,461584a20fb6e3ca9e81d9c498e11d1bc6f6a04ca57d30f89b6cf2cc3ff12d8b,True,True
nuxt/ui,3630af367a53ec548a75c61ef64981071499f5bf0bd3376ce4def90e2b224c4c,True,True
innogames/slack-bot,042a7f9805b285c0688b01b6f0f88686c3c82ff960d8bd1b99a4902ce9b21c15,True,True
usagi-flow/evil-helix,ba6d643bff697b9845b534c80ac8c980dad42d655aeecfd00c6da4d2b6fe1420,True,True
adyen/adyen-ios,28f4936b3b1eae0b3068aae57db8f1644db58e5db7213126892ede2487c7ec7d,True,True
loonghao/photoshop-python-api,44a702df5771db5e55d9d7947d64c3b69212ba680477384edef6687f65ce9e43,True,True
octokit/octokit.graphql.net,48e13f8c97a7e12dbfd4335b86bbd611093a204e7bcadce8570063bfbc7bcad0,True,True
protocolbuffers/protobuf,532299d60fed1a9b139bc5e98eea921c49d83bb28c88c0ed7b12c59ed6de1cfe,True,True
pyTMD/pyTMD,8f47bb455319db0ced6f836b02ef19db8b01cda9ae30571c24d094e422e91672,True,True
paullouisageneau/libdatachannel,3b037bd5634413b9e2d0d450a1deff114d6be5ef78e0ab788b75bee66fcbf1b2,True,True
cacti/cacti,e5628fd0793612982664e2be3b7d19248bce79daea7ce95fdc8652b7a6b292fc,True,True
googlecloudplatform/cloud-sql-proxy,3f0978eb85a80120510c156f58ef7e56ff2918e0e18b7e2bb07f1044d0c93bc8,True,True
cilium/cilium,7572f48d914e0d8e3995c676501cb73cd3705680ace7d63fafce8f6988c478e8,True,True
Arelle/ixbrl-viewer,4c9a2f1e196c4f84ee60c390ec12e41e48bdc8282a334ae5fbaa06966b880daf,True,True
souporserious/mdxts,96e3ccb685ec3192250c60d0a11be042c19c732a634598d9e69367733ec1a1e9,True,True
gridtools/gt4py,6af5528d90008bd0b2564dff1868fdbf20e2a0b8ef84188867f11734fb90b9bc,True,True
azure/azure-kusto-python,afc83b2c8436e7fc7ff6aa618bb5b2b787421a8a7c058be47745e1527de9707e,True,True
taichi-dev/taichi,ac90aaaa611e868c2f8c3dccc8b2fc4b02e8c894da184c3f665ca1760103bc0a,True,True
edoardottt/csprecon,6d859dd715245091603c18b9f27315894ed0d2f43e71b7a900b2091a61ba1857,True,True
cozy/cozy-stack,27b8a88db67ec195279e1fa9c430402e033c6daa0dc16f001c605881b09274af,True,True
airbytehq/airbyte-platform,c8fa951c2b5cfef72a634086e1cb4417df7298b9b4643c471c573ec6d1e41659,True,True
ComicSparks/jasmine,529810c39b65eea747c8703a78af31bc003cb2f428066266ee1cdcf709d672b9,True,True
backstage/demo,f311c1ec9844cffea4af86a9ec5a1924acca929bf844cd5c702aafa53a94e9e9,True,True
zhuzichu520/FluentUI,57d58a74d91439e7fe0257986fe44c3373817a6be0ad8c1d93c6521b675f60fe,True,True
umami-software/umami,1c2abb0c293ecf312ce20e0fdabda4af2fd65feabf6ec1afc7d11b8899c04ba0,True,True
anyproto/anytype-swift,6bdfc3be794010010a0d0b8fe420144cd23b735b4f24d97ffb5e0e123ef32c38,True,True
reactjs/uk.react.dev,9b653e8a3537d7382801d134df0f32f54620f4d7a992f369a525c477ec274b18,True,True
testcontainers/testcontainers-java,4aef597a09dfdc45930c93d9f4c4fab74b5673feffadf5fd01a5f3ee0aed5b03,True,True
wise-old-man/wise-old-man,,True,True
hectorm/demergi,e99b45c549a40d003b76d3d23b59d3d068d3e377f1e11c6b1cf24dbfe9c3fd17,True,True
kumahq/kuma,fbd8eb0a6e81bc5622d3c75db61cf8cd330bb8978b9af5a09e3e16af05ec83cc,True,True
gitbutlerapp/gitbutler,7e274bbaeeadc85ab9a9c9ef301b7972c794f8ab6c2d143cf6d7fec2383fbf8d,True,False
stuffanthings/qbit_manage,1c29e9ac20a8d565b6bbabc9ea44766cde2334a49fc365f0b40ff8a1d288e6e5,True,True
TechxArtisanStudio/Openterface_QT,8f22f276e9d2efdacb37d4fc71f64c09722a29a98dd9011b520d1870a121a13a,True,True
oven-sh/bun,703ab22717f6e3fc8f0d343fb578c56543a133539ab24bddd90eb395b841f06e,True,True
tarlepp/symfony-flex-backend,3af1c501dd6d1602b5e47545d376a0c11a18ea1ac32c94a7885769ba13b94820,True,True
markuspoerschke/ical,b7b5eb4741e53a59234afe5f9e06706e60c70b7fb8154fef83acce09dda3f5d5,True,True
linuxserver/docker-webtop,8053d27d6a3e44b98fb41a145397c647fcdc16328711c75e0fade3f951183401,True,True
cert-polska/artemis,51d8e29f8d43e737dddcbff89cee624ea1aa100e2504c4bee09d111e59703659,True,True
iotaledger/wasp,f920ca0616faa9b02fa50e5712cc786e7622b2b62331b0f7d52b825d23cab9cc,True,True
bootc-dev/bootc,1669335bb04530a4dc1e64882de9bd330e080da67c682351f72ce088fe8e9c4e,True,True
cheetahtemplate3/cheetah3,9cdebd54e2ebae95d3e55fae8cfb1947d0b5e06861be4244602d7f78ff6c5255,True,True
sunfishcode/mustang,ddfd8e9597e9dac901d4becc2be9e6b995ecd7fc5f9f3c08965ad940c166088a,True,True
customeros/customeros,ea6657af3d870b390f298397ee912d1e2057154bd1eee1f948827d39f23fbabb,True,True
JuliaIO/JLD2.jl,5470f5045438cb05949798fe0399a88bfb73fcc2be688beaa536eac3e0ac8db5,True,True
kubernetes/dashboard,fdca553f9ed5270c6fcbed3182764a188dac718e10df89cfeefda36656c31f4b,True,True
ar10dev/tauri-solid-ts-tailwind-vite,3d96b1a33bdc5995d01134397aadf65bbb3bf1501c87dcc00e3942f2b68104f5,True,True
intuitem/ciso-assistant-community,87fd4f883bb6421de9acb2301c2815e2ea1468eee087a2bd2818e7c5af039fc4,True,True
radish-bdd/radish,4f26288d212a7026a90088cf0957cffc874ba1d91b60d7b86b6a082ff3ae8638,True,True
cyclonedx/cyclonedx-gradle-plugin,bdd662689cc6532e7059282ba27f69b1223ca9a3989c5b25047b63e318005084,True,True
partykit/partykit,89592b6f4cbd7b96d9c740b4d2e9f51c0a521c6dbb92f0338ebd9cd94079b99a,True,True
camunda-community-hub/camunda-platform-7-keycloak,051942d680b9408c091e2ee73e8effad9537d0a2dacf18f52a23dda78a2f9a26,True,True
nvidia/nemo,6f2a00a28915ffc1c9f19db86ef8e93325c264858d701b1179dfb6668279f8bb,True,True
husarnet/husarnet,2c5f0e7209d5dd44d0b209bae582e2c4b4715248eee3458dcdb53d385f907d17,True,True
openchemistry/avogadrolibs,dcfab720b61c40e054431e52ff2802869c3e70c083b695a9b982ab33b63a24f6,True,True
domjudge/domjudge,56fe70c730cb079846c42ad4cd856911220ca8388ee524623315b812c138cd9f,True,True
trusted-ai/aix360,97f841df5d6d5f358e335f0cf8d82b7086d6c73f9dfd038f34622faac25dd151,True,True
santoshshinde2012/node-boilerplate,61dec61eef43453d5041ab6cc9f24e9d378d940e75a795cbb735915196068bf9,True,True
tarantool/tarantool,ddaf377266a575231701d8462c49b896df5d60e00527725d8c66da1361f4e344,True,True
scikit-hep/mplhep,053f3572603ffbaed1f1189ea8d43fd21d03fb6138a3b9dbfeb0a6a453b082bf,True,True
nose-devs/nose2,24426221c0e7440c8fd6c6599b9b5b3b5d2855637e170ff7e13913f2495f5d58,True,True
kubetail-org/kubetail,4120e9e97cc0aef80440f4383d4e9f2daa7c4f1757cfe40d73818853e166dcc5,True,True
friendsofsylius/syliusimportexportplugin,04e96d2d8f5a4afcdb6050b420e8aec805ca2bba54f89649ca4034e015a44067,True,True
cilium/cilium,e87ca1762779703aa84592afb9ece8984b428b8999a501dc3264954c73d54d76,True,True
argentlabs/argent-x,522a9384a81776512acbc9aa8cbb923079ddc65698071593fb4ee4718dfc1604,True,True
ton-community/ton-kotlin,a96177d180bbe4a9eaa4b39ab15460bef55a4a595b831cb9e004efac95836609,True,True
pulumi/templates,bcf2de062462aeb1581eb15e7405218a8b3bd9294aff167597ab6f0c3d97d801,True,True
chapmanjacobd/library,37ee58b572f0dcbdd309cedce5feb9e3e1b365074f9ea8e1838afacf4fc2f54a,True,True
xpack-dev-tools/riscv-none-elf-gcc-xpack,3289fa30186f760c88866c0493dc4ab42891791ff431bddc64076ae7019e569a,True,True
openipc/firmware,665007a4bc40b9b7042466f62da241f6dc1872a7fb493fc956ef437dd246bcbf,True,True
pvieito/pythonkit,0fcd19a0dd058205570d7fec795cdccec8085543b15625864a3341c3f3f2f34a,True,True
krlmlr/utf8,b6c10d08f8fd369ffc68b5bbe2abc13d0c7d897be8885d63acf3b36c41bb974a,True,True
docker-mailserver/docker-mailserver,8b33f9164cf42a91f4d1112286f9cbdedeb49c26c50c0d47094b0c8081d847fc,True,True
owncloud/client,436e6cfcbb5175a8c2c05f6070e23d4f4bb0f30fa5900426358a48dce1ccf3fb,True,True
gradle/actions,a0772dde1a4c60145ea1b901669dd558c8fb332aac54d107b8beced540d63db4,True,True
preactjs/signals,5cfaddb430845d0dc36bfffb39d18a2a1aca7c290b9ebbbc5689f9bc1a198f38,True,True
bitwarden/server,cf905ca78b302416d8792e85b78312aa4c2a25427da156b615e4a9a902f5cf7d,True,True
polytope-labs/hyperbridge,2fc1223bb07cbb1a8585dbd4b89bf51bf1cb9ee3d0a15bf55e646814123b4da9,True,True
databendlabs/databend,51dc002e4b82486d3885392994578946df862769bd7f9f677d4d902c5641d48b,True,True
atuinsh/atuin,29178efb0e53e8e2b6981240e1bfdf7b1095e1c397846451c986fee249c488ce,True,True
scverse/scvi-tools,e3310a801b083d6ebf37c528101b091b4a0dbe9e92a6dc33fb1dca3d52572188,True,True
wwmm/easyeffects,49b17cdb3a163d0b7d7f9d3de1fc7f443c8f61b538558ecbcba5b2f11686d6d4,True,True
DHDAXCW/OpenWRT_x86_x64,e1f1acb25dd3b48685ec8eb2183613955f967f3b3dcc49cc1b6dbceb2ac7f214,True,True
zdz/serverstatus-rust,07b3bd99c11a30bb813f1a22cb80f0900722f2ad12744af9639c7957e7221c4e,True,True
smogon/pokemon-showdown,6ab164087e78ed11573c93945e147816f788f6d4ee8e4fe695ac772a17b34b4a,True,True
scitools/iris,4c2ad0f13aebf73e82a36392d38f974497b21d1b3b1e7343ac9dea0d72a80adf,True,True
ggarra13/mrv2,c5320d6c0994b902fdc4b3c01620c09e9a65497053adff71a4657c46da891792,True,True
lorittabot/loritta,3bf3568a5ea8f06f2198d36db898c611869703d90d4bf94efa4409cc40fb356c,True,True
ollama4j/ollama4j,,True,True
jvde-github/ais-catcher,ee002103b2bfdb3ed4a6458e620cf67e93db39384beeb7143ed47e03cdb68574,True,True
celestiaorg/docs,bf5089897388c40089a214c97c532c6713e74f86d8c67fd0c3b52766155f8fd6,True,True
wezterm/wezterm,299a2fd88bfd80dc426218e0d47c5bb7c177c0c97762813a23b5192a107fbc61,True,True
calimero-network/core,18d67a594e7af2076c0f3e32985e6b8df90c7032a777f94bcba8b1404092d759,True,True
userdocs/qbittorrent-nox-static,3b42c23d05d97ca05d5ac15bd0c5da885a5763e5815fe31983b454abc6d7d5ea,True,True
stenciljs/core,5b37dba9f954ac261e46fb58c8415af0e6b3290c8c12efb5e81a934436a2679b,True,True
vcs-python/vcspull,b0a76fd323ab1d63bd040a1c7368b14ec8399b050a8e9341d458182e75353aaf,True,True
linwooddev/butterfly,868140851f938620658eb159e1d950202664930f21d631d177eda622cdf09ad4,True,True
semgrep/semgrep,d225842e094f1028d438a50fc7fe18e1ca26c53b91411c6fc6d19ef4836060b5,True,True
cilium/cilium,45dabb7daf5afee3000dacd790588430a60f83ab56c0b4abdbf708bc61a99e18,True,True
univrsal/input-overlay,94ae2c4ca347c24d44c492aee475fa1b3aa97a2838660d43322b2a34fe7d19ee,True,False
pdvrieze/xmlutil,9d8643bd0e9e4468205e8d577f358bcf4ae3901a886946224af34c22e5b23366,True,True
bpmn-io/form-js,4fed2fd84f4fa0ac90299afae995cf576c06f3ae1ec8abd5eb54307a8f755a69,True,True
vkcom/icons,cd5204e3fa7e6e76166716a802c9337806a06b2b860de0ce3dd3fc22958d4297,True,True
goosemod/openasar,9480b96b1eada1ddadd278a49423c6be0d048d52007305d376c6c387b26dd865,True,True
johnkerl/miller,94dcfd268afd9e6187dc9753f2cd83236769c93c6d04d956f337d74ff02d7ac5,True,True
noobaa/noobaa-core,18e29ea8bc2b2d8e62d749879ba88860b603b66745b8ab698aade4c59c45e209,True,True
mlr-org/mlr3,57c1fc4bd4d6844bc74a1f95a18152fe140d172e848c279773beb4f2b93ff942,True,True
sitkoru/sitko.core,ccf9c16b35acd5312d4705cf1c4e227ca6f680ee96897f1cdf68d0ccf0eda9ea,True,True
boxed/mutmut,cb9148638e91dd1ef724aadfe10c930e68146d4fb356a983a30e6b976f8315ae,True,True
flant/addon-operator,4b87df595f23acacb68d12a112be74fde5891f476b8f3ddd6e9cbb2fbe06a279,True,True
nuxt/cli,fcc77ce62729277b7ce5bba59ab71cc75f0c918e9854d845db37876c9f6675d5,True,True
bminor/newlib,95ce57671867753371e274234874fe4abeb96befa1ea0ff34a1f322c6890bf46,True,True
marcoieni/release-plz,4c11423199f7cc93feefb9bd5b8a2319bc223e4e48242591215c2847539705ae,True,True
terraform-provider-openstack/terraform-provider-openstack,378bdf02a33f84e34208b3008c2665ad808820704496c583091596ac4aa0bf44,True,True
jax-ml/jax,7aa28b1e4f47a094eafc2a1c9b19750aafc987f568cba753a9d9348da1c646a4,True,True
juspay/hyperswitch,2f9c76f5b69d8d2d887f854c46456351d62d9e3c06500ff697845f6430e9bdab,True,True
deeppsp/torch_ecg,0f46ad0ea41700a0174032039367dc89c5cc32583a568f477b3887b04bc54b9d,True,True
Zxilly/go-size-analyzer,866b75f93bf8cb85684de0dc25be7ed0a6db7e68b046abdcda0293ca3f0065cc,True,True
silverqx/tinyorm,e42df11ea529363565b89964a3096824f1fe92b35420d2317e04809623684698,True,True
victorkabata/notflix,edf5a4097a6fc3ba2a4025d7104230457974f8f8268d59bcc69a9ad6dae93392,True,True
nuclia/nucliadb,36ad6549c3c42d3b77ccf8479d7549070153cb02f28fa8feeab3a6afcae842ac,True,True
academysoftwarefoundation/openvdb,0df22c1fc863d99249f0f23cb861fd48d23445cba7c83278e8f1766683663447,True,True
linuxserver/docker-piwigo,e18aa04f83c5c93ab414c8b4f16f12a8ae7797619cbf0e8ba41381d84d7e2b69,True,True
hiddify/hiddify-next,2f42bb15103ef125f7ff3d2c273744303e7cc30862951f4ea77664baa07aed48,True,True
pocoproject/poco,c42c78b8a20a785dd3500ad2d076414ca6ccbe73a2990de31f2ffd75f4d608ad,True,True
XiangwanGuan/Shadowrocket,861cb472b9e662b3131b2898db81bce7ed32adeba816fff40903d6f579fac97c,True,True
apache/directory-server,17de36041b933a70ffb3ec2b0370ed2be386e17064b889857fb8d239fb7fcde4,True,True
flank/flank,c573cf352ac3ec44f7e59f5fc38c84ea744e19112154db174f70d23e3866a162,True,False
pinnacle-comp/pinnacle,,True,True
pennylaneai/pennylane-lightning,1420bff16ebcda87d8f8caa3b0ef889124a3c9becc27db46e50f3daad9f322e4,True,True
tensorflow/io,34958c84a9dab963a8a56d1248a14e5b8d5932d477aba91e55db2f947123a0c9,True,True
smistad/fast,0e52dfbfe965a7bb8eab641e8a8e4ca43dfa0835ec81ff02072d40afef1dacb7,True,True
kong/kubernetes-ingress-controller,c8209f59ebe62c6ade52934edf21e90a573c6f8c87654c401d300197046a0a75,True,True
lonami/grammers,98d4f778ab181bb6d654a0c6f84b109cf661f3d2e06811a414817d2cdba015c5,True,True
kanglin/rabbitremotecontrol,000ee5aab7436870dafd72e39944523e15c8f71088a3fec2f054a47b262bb496,True,True
vuestorefront/storefront-ui,7f4b93fd883f26172a176e418a7b769c08d23a177c97910bad139b0b23ddd35b,True,True
redhat-developer/yaml-language-server,e4ec98d8199cc94bbdaf4541bcd7243ce9bfa1377134585a9464f4f8e3889630,True,True
denosaurs/bench,bed810272139214c857eaca30d0099b2427a4829a7a2d33149e0e1d51d9cc0f0,True,False
zowe/zowe-cli,4b8560bc263e7aedb38433f369e299196d12f79ea8bfece6cbc469f0dbbcc374,True,True
virustotal/yara-x,5512b8f59bb4e21ad955f051de731d7500f93b9efcf942022e877ee36c0b479b,True,True
